ccode,year,attacksum,deathsum
90,1990,83,68
90,1991,77,73
90,1992,48,28
90,1993,0,0
90,1994,84,22
90,1995,82,40
90,1996,26,14
90,1997,26,22
90,1998,0,0
90,1999,1,3
90,2000,1,2
90,2001,2,1
90,2002,0,0
90,2003,3,1
90,2004,2,3
90,2005,0,0
90,2006,4,5
90,2007,0,0
90,2008,0,0
90,2009,0,0
90,2010,0,0
91,1981,17,7
91,1982,34,24
91,1983,29,75
91,1984,12,5
91,1985,9,7
91,1986,8,10
91,1987,20,21
91,1988,21,32
91,1989,29,9
91,1990,13,3
91,1991,21,18
91,1992,12,5
91,1993,0,0
91,1994,6,10
91,1995,12,8
91,1996,19,11
91,1997,22,14
91,1998,0,0
91,1999,0,0
91,2000,0,0
91,2001,0,0
91,2002,1,0
91,2003,0,0
91,2004,1,28
91,2005,0,0
91,2006,0,0
91,2007,0,0
91,2008,0,0
91,2009,8,2
91,2010,0,0
92,1981,664,1578
92,1982,537,1549
92,1983,371,1667
92,1984,273,1315
92,1985,436,1013
92,1986,175,293
92,1987,234,421
92,1988,367,361
92,1989,356,350
92,1990,184,294
92,1991,500,426
92,1992,29,23
92,1993,0,0
92,1994,21,22
92,1995,9,3
92,1996,7,26
92,1997,2,1
92,1998,0,0
92,1999,0,0
92,2000,0,0
92,2001,0,0
92,2002,0,0
92,2003,0,0
92,2004,0,0
92,2005,0,0
92,2006,0,0
92,2007,0,0
92,2008,0,0
92,2009,0,0
92,2010,0,0
93,1981,47,172
93,1982,63,254
93,1983,299,3277
93,1984,302,3617
93,1985,258,1575
93,1986,171,395
93,1987,223,549
93,1988,62,208
93,1989,21,48
93,1990,15,23
93,1991,80,54
93,1992,30,22
93,1993,0,0
93,1994,19,12
93,1995,18,6
93,1996,26,18
93,1997,7,7
93,1998,0,0
93,1999,1,0
93,2000,1,2
93,2001,0,0
93,2002,0,0
93,2003,0,0
93,2004,0,0
93,2005,0,0
93,2006,0,0
93,2007,0,0
93,2008,0,0
93,2009,0,0
93,2010,0,0
94,1981,10,4
94,1982,6,4
94,1983,3,0
94,1984,2,0
94,1985,5,0
94,1986,1,0
94,1987,3,0
94,1988,2,0
94,1989,1,1
94,1990,1,0
94,1991,2,0
94,1992,2,0
94,1993,0,0
94,1994,1,1
94,1995,0,0
94,1996,1,1
94,1997,1,2
94,1998,0,0
94,1999,0,0
94,2000,0,0
94,2001,1,1
94,2002,0,0
94,2003,0,0
94,2004,0,0
94,2005,0,0
94,2006,0,0
94,2007,0,0
94,2008,0,0
94,2009,0,0
94,2010,0,0
95,1981,4,1
95,1982,0,0
95,1983,9,0
95,1984,2,0
95,1985,0,0
95,1986,5,0
95,1987,4,1
95,1988,1,0
95,1989,2,0
95,1990,15,2
95,1991,16,2
95,1992,37,3
95,1993,0,0
95,1994,3,21
95,1995,6,3
95,1996,2,0
95,1997,6,3
95,1998,0,0
95,1999,1,0
95,2000,1,0
95,2001,0,0
95,2002,0,0
95,2003,0,0
95,2004,0,0
95,2005,0,0
95,2006,0,0
95,2007,0,0
95,2008,0,0
95,2009,1,0
95,2010,0,0
100,1981,172,365
100,1982,222,368
100,1983,234,437
100,1984,237,485
100,1985,382,935
100,1986,307,771
100,1987,337,655
100,1988,427,1096
100,1989,492,751
100,1990,350,694
100,1991,420,742
100,1992,523,631
100,1993,0,0
100,1994,201,218
100,1995,124,525
100,1996,409,611
100,1997,598,1230
100,1998,94,593
100,1999,116,262
100,2000,137,426
100,2001,207,548
100,2002,150,352
100,2003,98,184
100,2004,37,83
100,2005,42,139
100,2006,43,79
100,2007,30,63
100,2008,133,85
100,2009,140,107
100,2010,137,56
101,1981,7,2
101,1982,2,30
101,1983,6,7
101,1984,4,2
101,1985,2,0
101,1986,8,13
101,1987,13,3
101,1988,10,41
101,1989,8,14
101,1990,1,0
101,1991,17,47
101,1992,32,7
101,1993,0,0
101,1994,12,4
101,1995,11,8
101,1996,12,13
101,1997,41,3
101,1998,1,0
101,1999,5,0
101,2000,0,0
101,2001,5,0
101,2002,5,0
101,2003,8,0
101,2004,0,0
101,2005,0,0
101,2006,0,0
101,2007,2,1
101,2008,1,1
101,2009,3,10
101,2010,0,0
110,1981,1,1
110,1982,0,0
110,1983,0,0
110,1984,0,0
110,1985,0,0
110,1986,0,0
110,1987,0,0
110,1988,0,0
110,1989,0,0
110,1990,5,0
110,1991,0,0
110,1992,4,0
110,1993,0,0
110,1994,0,0
110,1995,0,0
110,1996,0,0
110,1997,1,0
110,1998,2,0
110,1999,0,0
110,2000,0,0
110,2001,1,0
110,2002,1,4
110,2003,1,0
110,2004,0,0
110,2005,0,0
110,2006,2,6
110,2007,0,0
110,2008,3,23
110,2009,0,0
110,2010,0,0
115,1981,0,0
115,1982,1,0
115,1983,1,0
115,1984,1,0
115,1985,0,0
115,1986,8,2
115,1987,13,6
115,1988,9,6
115,1989,17,14
115,1990,7,0
115,1991,1,1
115,1992,5,0
115,1993,0,0
115,1994,1,0
115,1995,0,0
115,1996,0,0
115,1997,2,0
115,1998,0,0
115,1999,0,0
115,2000,0,0
115,2001,0,0
115,2002,0,0
115,2003,0,0
115,2004,0,0
115,2005,0,0
115,2006,0,0
115,2007,0,0
115,2008,0,0
115,2009,0,0
115,2010,0,0
130,1981,2,2
130,1982,3,1
130,1983,10,0
130,1984,24,1
130,1985,12,4
130,1986,8,13
130,1987,6,0
130,1988,9,4
130,1989,14,9
130,1990,8,3
130,1991,17,0
130,1992,23,2
130,1993,0,0
130,1994,6,0
130,1995,6,4
130,1996,5,2
130,1997,4,1
130,1998,3,0
130,1999,2,0
130,2000,4,0
130,2001,5,0
130,2002,2,0
