year,ccode,uds
1967,41,-1.252009806
1968,41,-1.123532316
1969,41,-1.119642232
1970,41,-1.120754014
1971,41,-1.401286648
1972,41,-1.321221017
1973,41,-1.226874226
1974,41,-1.228126173
1975,41,-1.223332598
1976,41,-1.232042766
1977,41,-1.135233899
1978,41,-1.138979733
1979,41,-1.136887752
1980,41,-1.180913949
1981,41,-1.141086664
1982,41,-1.140523115
1983,41,-1.232588549
1984,41,-1.239464
1985,41,-1.064059162
1986,41,-0.75787129
1987,41,-0.9194415
1988,41,-0.778851053
1989,41,-0.741210247
1990,41,-0.042938964
1991,41,-0.626514307
1992,41,-1.146573067
1993,41,-1.147385707
1994,41,-0.13057565
1995,41,0.045170037
1996,41,0.066353446
1997,41,0.063674837
1998,41,0.046334953
1999,41,-0.359963922
2000,41,-0.4010923
2001,41,-0.582391335
2002,41,-0.587935435
2003,41,-0.589601522
2004,41,-0.610626647
2005,41,-0.534827307
2006,41,0.084481123
2007,41,0.082288428
2008,41,0.00253478
1946,42,-1.279911335
1947,42,-1.279035575
1948,42,-1.260065642
1949,42,-1.253948811
1950,42,-1.253233586
1951,42,-1.25647739
1952,42,-1.116278625
1953,42,-1.258023835
1954,42,-1.125758876
1955,42,-1.139196535
1956,42,-1.25264961
1957,42,-1.255197349
1958,42,-1.256687164
1959,42,-1.262698609
1960,42,-1.150058734
1961,42,-0.458381129
1962,42,-0.135003979
1963,42,-0.258609682
1964,42,-0.660346931
1965,42,-0.664767556
1966,42,-0.113182456
1967,42,-0.10994696
1968,42,-0.110580428
1969,42,-0.111196682
1970,42,-0.105779757
1971,42,-0.103059703
1972,42,-0.044202453
1973,42,-0.04638587
1974,42,-0.150558765
1975,42,-0.151600938
1976,42,-0.169433353
1977,42,-0.203071688
1978,42,0.459403997
1979,42,0.629420693
1980,42,0.561194243
1981,42,0.719005029
1982,42,0.723324187
1983,42,0.709168213
1984,42,0.651608564
1985,42,0.659263771
1986,42,0.651412447
1987,42,0.649227591
1988,42,0.709710855
1989,42,0.65323844
1990,42,0.549772627
1991,42,0.54741223
1992,42,0.544610562
1993,42,0.526622635
1994,42,0.243879767
1995,42,0.246603894
1996,42,0.67926398
1997,42,0.681790054
1998,42,0.714686114
1999,42,0.698931046
2000,42,0.701457341
2001,42,0.747998583
2002,42,0.741850924
2003,42,0.69766591
2004,42,0.744874061
2005,42,0.747013502
2006,42,0.71401614
2007,42,0.715010449
2008,42,0.672375259
1960,51,1.474451081
1962,51,0.981101428
1963,51,0.979990521
1964,51,0.983727396
1965,51,1.04514879
1966,51,0.989547775
1967,51,1.054222963
1968,51,1.053017742
1969,51,1.055580703
1970,51,1.06086546
1971,51,1.058795065
1972,51,0.928806945
1973,51,0.924319131
1974,51,0.926915035
1975,51,0.929566116
1976,51,0.913324253
1977,51,0.851595029
1978,51,0.846230064
1979,51,0.847779597
1980,51,0.895984381
1981,51,0.840629772
1982,51,0.846977451
1983,51,0.625963548
1984,51,0.63108827
1985,51,0.542734305
1986,51,0.626994201
1987,51,0.69424217
1988,51,0.767887643
1989,51,0.909328476
1990,51,0.910242062
1991,51,0.916012198
1992,51,0.914059838
1993,51,0.655760627
1994,51,0.654128737
1995,51,0.656870269
1996,51,0.655882141
1997,51,0.659871998
1998,51,0.716368724
1999,51,0.68437528
2000,51,0.654684614
2001,51,0.618886922
2002,51,0.621378936
2003,51,0.621698134
2004,51,0.618658919
2005,51,0.619308687
2006,51,0.620672055
2007,51,0.61495387
2008,51,0.614660791
1962,52,0.684147679
1963,52,0.684033721
1964,52,0.686927896
1965,52,0.622027463
1966,52,0.600986906
1967,52,0.780526924
1968,52,0.78074934
1969,52,0.779961349
1970,52,0.783725308
1971,52,0.41652807
1972,52,0.44035768
1973,52,0.488747643
1974,52,0.492093523
1975,52,0.489239145
1976,52,0.78332844
1977,52,0.784656294
1978,52,0.778804391
1979,52,0.675127551
1980,52,0.625741133
1981,52,0.794691249
1982,52,0.801078766
1983,52,0.785736715
1984,52,0.859443259
1985,52,0.924553899
1986,52,0.862110456
1987,52,0.977804759
1988,52,1.002306659
1989,52,0.980261748
1990,52,0.983357734
1991,52,1.047257995
1992,52,1.050768172
1993,52,1.048712427
1994,52,0.925434493
1995,52,0.926173859
1996,52,0.924273729
1997,52,1.091323205
1998,52,1.093891834
1999,52,1.084825514
2000,52,0.96794967
2001,52,0.826657421
2002,52,0.820125325
2003,52,0.823593583
2004,52,0.827286838
2005,52,0.893745596
2006,52,0.972992201
2007,52,1.160354834
2008,52,1.156538841
1966,53,0.634251633
1967,53,1.000889034
1968,53,0.991316226
