year,ccode,terror_killed,terror_events
1981,95,1,4
1983,95,0,9
1984,95,0,2
1986,95,0,5
1987,95,1,4
1988,95,0,1
1989,95,0,2
1990,95,2,15
1991,95,2,16
1992,95,3,37
1994,95,21,3
1995,95,3,6
1996,95,0,2
1997,95,3,6
1999,95,0,1
2000,95,0,1
1970,100,0,1
1972,100,1,2
1973,100,0,6
1975,100,7,10
1976,100,10,22
1977,100,38,80
1978,100,71,158
1979,100,156,140
1980,100,159,141
1981,100,365,172
1982,100,368,222
1983,100,437,234
1984,100,485,237
1985,100,935,382
1986,100,771,307
1987,100,655,337
1988,100,1096,427
1989,100,751,492
1990,100,694,349
1991,100,742,420
1992,100,631,523
1994,100,218,201
1995,100,521,123
1996,100,611,409
1997,100,1230,598
1998,100,592,94
1999,100,262,116
2000,100,426,137
2001,100,576,207
2002,100,356,150
2003,100,184,98
2004,100,83,37
2005,100,145,42
2006,100,79,43
2007,100,64,30
2008,100,85,133
1970,101,0,2
1971,101,0,4
1972,101,0,1
1973,101,0,4
1974,101,0,3
1975,101,0,5
1976,101,0,4
1977,101,1,3
1978,101,1,7
1979,101,0,4
1980,101,3,8
1981,101,2,7
1982,101,30,2
1983,101,7,6
1984,101,2,4
1985,101,0,2
1986,101,13,8
1987,101,3,13
1988,101,41,10
1989,101,14,8
1990,101,0,1
1991,101,47,17
1992,101,7,32
1994,101,4,12
1995,101,8,11
1996,101,13,12
1997,101,3,41
1998,101,0,1
1999,101,0,5
2001,101,0,5
2002,101,0,5
2003,101,0,8
2007,101,1,2
2008,101,1,1
1978,110,5,1
1979,110,1,2
1980,110,1,1
1981,110,1,1
1990,110,0,5
1992,110,0,4
1997,110,0,1
1998,110,0,2
2001,110,0,1
2002,110,4,1
2003,110,0,1
2006,110,6,2
2008,110,23,3
1982,115,0,1
1983,115,0,1
1984,115,0,1
1986,115,2,8
1987,115,6,13
1988,115,6,9
1989,115,14,17
1990,115,0,7
1991,115,1,1
1992,115,0,5
1994,115,0,1
1997,115,0,2
1973,130,0,1
1974,130,0,3
1976,130,1,2
1977,130,1,7
1978,130,2,11
1979,130,0,2
1980,130,2,2
1981,130,2,2
1982,130,1,3
1983,130,0,10
1984,130,1,24
1985,130,4,12
1986,130,13,8
1987,130,0,6
1988,130,4,9
1989,130,9,14
1990,130,3,8
1991,130,0,17
1992,130,2,23
1994,130,0,6
1995,130,4,6
1996,130,2,5
1997,130,1,4
1998,130,0,3
1999,130,0,2
2000,130,0,4
2001,130,0,5
2002,130,0,2
2003,130,0,4
2004,130,0,2
2008,130,0,2
1973,135,0,3
1974,135,0,3
1975,135,0,2
1977,135,0,4
1978,135,0,4
1979,135,5,3
1980,135,2,64
1981,135,10,149
1982,135,243,350
1983,135,1818,536
1984,135,2467,592
1985,135,729,352
1986,135,513,568
1987,135,773,627
1988,135,855,355
1989,135,1502,630
1990,135,1146,495
1991,135,1412,658
1992,135,818,383
1994,135,81,91
1995,135,103,44
1996,135,74,42
1997,135,47,58
1998,135,7,5
1999,135,28,5
2000,135,4,3
2001,135,16,3
2002,135,9,2
2003,135,7,1
2004,135,6,3
2005,135,7,2
2006,135,7,1
2007,135,18,4
2008,135,0,1
1970,140,2,6
1971,140,0,3
1972,140,0,1
1973,140,0,2
1976,140,0,5
1977,140,0,1
1978,140,1,5
1979,140,4,6
1980,140,19,19
1981,140,2,11
1982,140,27,4
1983,140,0,8
1984,140,0,5
1985,140,0,1
1986,140,14,3
1987,140,0,1
1988,140,0,2
1989,140,1,5
1990,140,3,7
1991,140,12,24
1992,140,28,24
1994,140,15,19
1995,140,13,23
1996,140,22,18
1997,140,28,39
1998,140,0,2
1999,140,1,1
2000,140,0,2
2001,140,1,3
2002,140,0,1
2003,140,0,1
2006,140,1,3
1970,145,0,1
1971,145,0,2
1974,145,0,1
1976,145,0,1
1977,145,0,1
1978,145,0,3
1979,145,0,14
1980,145,11,35
1981,145,1,5
1982,145,0,27
1983,145,0,27
1984,145,1,14
1985,145,0,13
1986,145,1,4
1987,145,1,14
1988,145,2,11
1989,145,2,40
1990,145,6,11
1991,145,7,28
1992,145,5,38
1994,145,1,8
1995,145,0,2
1996,145,0,1
1997,145,4,4
2003,145,0,1
2005,145,0,1
2007,145,0,3
