year,ccode,terror_killed,terror_events
1998,483,0,1
1999,483,77,1
2002,483,21,4
2006,483,103,11
2007,483,136,7
2008,483,172,8
1977,484,0,2
1982,484,15,1
1990,484,0,1
1994,484,12,8
1996,484,0,1
1997,484,2,2
1999,484,107,3
2001,484,0,1
2002,484,17,3
2003,484,11,1
1973,490,0,1
1977,490,1,1
1984,490,2,3
1988,490,28,1
1991,490,3,6
1992,490,10,5
1994,490,2,7
1995,490,43,6
1996,490,223,13
1997,490,21,6
1998,490,67,4
1999,490,7,3
2000,490,40,3
2001,490,15,5
2002,490,16,7
2003,490,154,6
2004,490,22,5
2005,490,22,4
2006,490,23,5
2007,490,72,11
2008,490,319,20
1979,500,13,8
1981,500,57,25
1982,500,0,1
1983,500,121,6
1984,500,235,3
1985,500,32,7
1986,500,1,1
1987,500,1,1
1988,500,160,15
1989,500,72,15
1990,500,84,14
1991,500,2,2
1992,500,2,3
1994,500,22,13
1995,500,145,7
1996,500,413,29
1997,500,239,24
1998,500,81,18
1999,500,75,19
2000,500,297,20
2001,500,56,24
2002,500,173,24
2003,500,231,30
2004,500,193,10
2005,500,80,11
2007,500,2,1
2008,500,3,7
1975,501,27,4
1976,501,0,2
1978,501,4,1
1980,501,15,1
1989,501,4,4
1991,501,0,5
1992,501,155,30
1994,501,40,5
1995,501,2,4
1996,501,2,3
1997,501,36,17
1998,501,226,2
2000,501,26,4
2001,501,13,7
2002,501,16,2
2003,501,3,2
2005,501,56,2
2006,501,18,2
2007,501,33,12
2008,501,103,11
1975,510,0,1
1979,510,1,1
1982,510,0,1
1994,510,1,1
1995,510,0,1
1997,510,1,1
1998,510,11,1
2000,510,0,2
2001,510,2,4
2002,510,24,2
2004,510,0,1
2008,510,0,1
1991,516,117,7
1992,516,61,2
1994,516,265,16
1995,516,583,83
1996,516,1371,35
1997,516,386,79
1998,516,392,13
1999,516,108,13
2000,516,97,17
2001,516,166,37
2002,516,67,18
2003,516,116,18
2004,516,18,1
2005,516,13,5
2006,516,21,5
2007,516,3,3
2008,516,28,7
1991,517,0,3
1992,517,141,18
1994,517,1571,33
1995,517,201,17
1996,517,129,15
1997,517,1027,33
1998,517,100,9
2000,517,4,1
2001,517,2,2
2005,517,30,1
2008,517,0,1
1975,520,0,1
1980,520,1,1
1981,520,0,8
1983,520,0,1
1984,520,0,2
1987,520,0,1
1988,520,0,2
1989,520,30,2
1990,520,5,12
1991,520,6,8
1992,520,8,21
1994,520,78,57
1995,520,29,13
1996,520,28,16
1997,520,145,19
1998,520,0,1
1999,520,9,4
2000,520,36,9
2001,520,3,5
2002,520,6,3
2003,520,7,1
2004,520,6,2
2005,520,20,6
2006,520,22,10
2007,520,408,156
2008,520,436,172
1977,522,1,1
1979,522,4,1
1987,522,10,1
1988,522,0,2
1990,522,1,1
1991,522,8,1
1992,522,228,6
1994,522,6,2
1995,522,0,2
1997,522,11,1
2004,522,0,1
1970,530,1,3
1971,530,0,1
1973,530,0,1
1974,530,3,4
1975,530,0,4
1976,530,0,5
1977,530,5,4
1978,530,25,2
1979,530,101,4
1983,530,0,3
1984,530,200,1
1985,530,0,1
1986,530,40,1
1987,530,0,1
1988,530,0,2
1989,530,1,1
1990,530,17,10
1991,530,161,5
1992,530,330,13
1994,530,6,4
1995,530,5,5
1996,530,133,7
1997,530,8,6
1999,530,2,2
2000,530,3,1
2002,530,1,3
2003,530,2,1
2004,530,1,2
2005,530,9,5
2006,530,12,11
2007,530,204,5
2008,530,27,8
1995,531,0,2
1996,531,6,1
2007,531,0,2
2008,531,4,2
1977,540,0,1
1978,540,0,2
1979,540,19,3
1981,540,3,1
1982,540,2,2
1983,540,282,7
1984,540,179,11
1985,540,6,6
1986,540,119,5
1987,540,5,3
1988,540,145,12
1989,540,88,12
1990,540,147,205
1991,540,69,16
1992,540,97,50
1994,540,108,9
1995,540,52,10
1996,540,18,4
1997,540,34,7
1998,540,275,20
1999,540,299,34
2000,540,178,22
2001,540,846,40
2002,540,59,6
1978,541,2,2
1979,541,34,5
1981,541,6,3
1982,541,18,9
1983,541,5,4
1984,541,56,10
1985,541,8,5
1986,541,470,7
1987,541,468,11
1988,541,145,16
1989,541,710,64
1990,541,185,23
1991,541,271,35
1992,541,155,19
1994,541,0,3
1995,541,15,3
1999,541,0,1
2000,541,1,3
2007,541,6,1
1971,551,1,1
1973,551,2,1
1975,551,1,1
1977,551,1,1
1978,551,0,3
1979,551,0,1
1981,551,0,1
1985,551,0,1
1986,551,2,1
1987,551,0,1
1988,551,9,5
1989,551,33,18
1990,551,20,4
1995,551,0,1
1996,551,0,4
1999,551,1,7
2000,551,0,8
2002,551,0,1
1978,552,73,19
1979,552,120,51
1980,552,37,27
1981,552,13,9
1982,552,22,12
1983,552,11,6
1984,552,4,3
1985,552,5,1
1986,552,1,1
1987,552,35,11
1988,552,2,1
1989,552,21,3
1990,552,9,6
1991,552,0,1
1992,552,0,1
1994,552,0,1
1995,552,0,2
2000,552,0,1
2001,552,1,3
2002,552,8,8
2003,552,0,1
2006,552,0,1
2007,552,0,1
2008,552,7,5
1992,553,32,3
2002,553,1,1
1974,560,0,1
1976,560,2,1
1977,560,5,15
1978,560,6,9
1979,560,8,16
1980,560,26,23
1981,560,8,42
1982,560,9,26
1983,560,28,56
1984,560,21,60
1985,560,82,106
1986,560,153,159
1987,560,120,133
1988,560,152,245
1989,560,57,149
1990,560,150,154
1991,560,384,127
1992,560,706,271
1994,560,447,174
1995,560,105,32
1996,560,82,47
1997,560,23,17
1998,560,13,6
1999,560,4,17
2000,560,18,21
2002,560,1,8
2007,560,1,2
2008,560,0,1
1975,565,1,1
1976,565,3,2
1978,565,2,8
1979,565,32,31
1980,565,2,2
1982,565,2,2
1983,565,4,5
1984,565,26,24
1985,565,74,8
1986,565,5,1
1987,565,2,7
1988,565,25,17
1989,565,1,11
1990,565,0,2
1991,565,3,1
1994,565,0,1
1999,565,13,1
2000,565,24,21
2001,565,1,6
1979,570,0,2
1981,570,10,5
1982,570,0,2
1983,570,30,12
1984,570,1,1
1988,570,4,1
1994,570,0,3
2006,570,0,1
1974,571,1,1
1985,571,0,1
1987,571,3,1
1988,571,1,3
1989,571,0,2
1990,571,6,1
1995,571,0,1
1982,572,0,1
1984,572,1,1
1986,572,0,1
1987,572,4,1
1989,572,0,1
1991,572,0,1
1992,572,0,1
1995,572,0,1
1997,572,0,1
1998,572,1,1
1999,572,0,1
2003,572,0,1
2006,572,0,1
2008,572,0,3
1991,580,4,1
1992,580,16,7
1995,580,4,3
1996,580,1,2
1997,580,0,1
2002,580,0,5
2006,580,0,1
1992,581,1,1
1994,581,0,1
1997,581,0,3
1988,590,0,1
1989,590,0,1
1981,591,0,2
1973,600,0,2
1976,600,0,1
1978,600,10,1
1979,600,0,2
1985,600,0,2
1986,600,2,2
1987,600,200,4
1991,600,3,3
1992,600,2,1
1994,600,0,2
1995,600,0,1
1996,600,0,2
2003,600,45,5
2007,600,8,6
1972,615,0,1
1976,615,0,1
1978,615,0,1
1979,615,0,1
1990,615,3,2
1991,615,42,30
1992,615,236,215
1994,615,500,227
1995,615,417,185
1996,615,529,129
1997,615,4266,344
1998,615,952,151
1999,615,467,106
2000,615,528,138
2001,615,624,113
2002,615,615,132
2003,615,269,75
2004,615,166,67
2005,615,228,104
2006,615,185,152
2007,615,279,124
2008,615,249,107
1979,616,0,1
1980,616,41,1
1986,616,0,2
1987,616,2,4
1991,616,4,2
1994,616,1,1
1995,616,7,1
2000,616,5,1
2001,616,3,1
2002,616,31,2
2007,616,14,1
2008,616,0,2
1979,620,0,3
1980,620,0,2
1984,620,15,3
1992,620,0,1
1995,620,0,1
1996,620,12,4
2007,620,0,1
2008,620,0,1
1973,625,3,1
1981,625,2,1
1982,625,0,3
1983,625,0,3
1984,625,305,5
1986,625,8,6
1987,625,0,1
1988,625,58,10
1989,625,14,8
1990,625,0,1
1991,625,32,3
1992,625,13,7
1994,625,17,5
1995,625,6,4
1996,625,40,10
1997,625,1,3
1999,625,16,5
2000,625,27,7
2001,625,13,9
2002,625,589,13
2004,625,28,5
2005,625,54,6
2006,625,484,24
2007,625,317,23
2008,625,205,32
1970,630,0,5
1971,630,4,11
1972,630,1,15
1973,630,1,4
1974,630,1,11
1975,630,8,13
1976,630,5,4
1977,630,2,5
1978,630,447,27
1979,630,57,82
1980,630,55,67
1981,630,224,108
1982,630,139,27
1983,630,0,10
1984,630,29,17
1985,630,22,3
1986,630,39,6
1987,630,0,1
1988,630,18,6
1989,630,14,6
1990,630,10,11
1991,630,2,9
1992,630,9,16
1994,630,74,43
1995,630,0,8
1996,630,3,3
1997,630,4,2
1998,630,6,5
1999,630,4,8
2000,630,5,15
2001,630,0,4
2003,630,0,2
2005,630,13,5
2006,630,48,14
2007,630,24,9
2008,630,26,8
1970,640,0,12
1971,640,1,35
1972,640,3,9
1974,640,0,1
1975,640,0,10
1976,640,7,35
1977,640,29,189
1978,640,40,52
1979,640,123,141
1980,640,111,95
1981,640,11,8
1982,640,9,5
1983,640,2,5
1984,640,27,19
1985,640,1,2
1986,640,26,7
1987,640,187,43
1988,640,102,42
1989,640,232,114
1990,640,512,195
1991,640,308,293
1992,640,1233,514
1994,640,982,300
1995,640,189,133
1996,640,117,54
1997,640,60,44
1998,640,37,23
1999,640,127,109
2000,640,12,35
2001,640,17,19
2002,640,0,5
2003,640,67,19
2004,640,25,27
2005,640,35,41
2006,640,45,40
2007,640,25,29
2008,640,42,32
1975,645,0,1
1976,645,12,3
1979,645,1,2
1980,645,8,6
1981,645,0,3
1982,645,96,5
1983,645,1,3
1984,645,0,2
1987,645,0,3
1988,645,43,4
1989,645,0,4
1991,645,1,3
1992,645,117,35
1994,645,75,18
1995,645,156,17
1996,645,11,12
1997,645,106,21
1998,645,19,7
1999,645,32,12
2000,645,10,10
2001,645,9,3
2002,645,10,6
2003,645,347,87
2004,645,2146,319
2005,645,3380,618
2006,645,4612,837
2007,645,6648,1047
2008,645,2863,1104
1970,651,0,1
1971,651,1,1
1972,651,0,1
1977,651,1,1
1978,651,2,2
1979,651,1,1
1980,651,1,5
1981,651,67,9
1982,651,0,1
1985,651,2,2
1986,651,12,4
1987,651,1,7
1988,651,1,9
1989,651,1,7
1990,651,21,13
1991,651,8,10
1992,651,49,79
1994,651,173,143
1995,651,134,102
1996,651,97,51
1997,651,165,22
1998,651,9,3
1999,651,1,1
2004,651,38,2
2005,651,92,2
2006,651,19,5
2008,651,0,1
1974,652,1,4
1975,652,0,2
1976,652,5,2
1977,652,1,3
1978,652,0,1
1979,652,80,28
1980,652,89,33
1981,652,192,41
1982,652,98,20
1983,652,1,1
1984,652,0,1
1985,652,30,1
1986,652,8,4
1989,652,0,1
1996,652,15,2
1997,652,2,1
1998,652,0,1
2004,652,4,1
2006,652,5,1
2008,652,18,1
1970,660,0,1
1971,660,0,1
1972,660,0,3
1973,660,4,11
1974,660,0,11
1975,660,28,15
1976,660,4,4
1977,660,3,4
1978,660,107,12
1979,660,33,38
1980,660,90,86
1981,660,264,81
1982,660,233,120
1983,660,615,234
1984,660,61,166
1985,660,644,95
1986,660,247,106
1987,660,178,94
1988,660,176,125
1989,660,113,141
1990,660,113,84
1991,660,98,91
1992,660,79,91
1994,660,57,67
1995,660,35,38
1996,660,57,39
1997,660,36,46
1998,660,17,23
1999,660,23,42
2000,660,12,12
2001,660,0,5
2002,660,2,8
2003,660,3,5
2004,660,1,1
2005,660,22,17
2006,660,12,7
2007,660,40,18
2008,660,142,58
1970,663,1,9
1971,663,0,5
1972,663,2,3
1973,663,0,1
1976,663,9,1
1980,663,1,1
1981,663,0,2
1982,663,0,1
1983,663,0,7
1984,663,1,5
1988,663,0,1
1990,663,0,3
1991,663,1,11
1992,663,1,2
1994,663,0,6
1995,663,1,3
1996,663,0,2
1997,663,0,3
1998,663,0,1
1999,663,0,2
2000,663,0,2
2001,663,1,2
2002,663,3,2
2005,663,62,4
2006,663,1,1
1970,666,1,1
1971,666,1,1
1972,666,26,1
1973,666,2,1
1974,666,78,12
1975,666,24,2
1976,666,1,2
1977,666,5,6
1978,666,52,23
1979,666,64,130
1980,666,14,79
1981,666,3,36
1982,666,3,71
1983,666,16,31
1984,666,7,25
1985,666,12,21
1986,666,35,48
1987,666,11,23
1988,666,13,35
1989,666,27,86
1990,666,57,98
1991,666,31,64
1992,666,38,78
1994,666,60,55
1995,666,18,13
1996,666,73,19
1997,666,31,13
1998,666,19,14
1999,666,6,8
2000,666,11,15
2001,666,140,79
2002,666,327,75
2003,666,154,38
2004,666,59,19
2005,666,45,43
2006,666,51,78
2007,666,17,53
2008,666,34,134
1977,670,0,1
1979,670,5,1
1984,670,0,2
1985,670,1,2
1986,670,62,1
1988,670,0,1
1989,670,1,3
1991,670,0,2
1994,670,0,2
1995,670,14,3
1996,670,19,1
2000,670,1,5
2001,670,2,3
2002,670,1,2
2003,670,55,8
2004,670,64,17
2005,670,1,1
2006,670,4,3
2007,670,3,1
1974,678,0,1
1977,678,1,1
1978,678,1,2
1981,678,1,1
1988,678,0,1
1991,678,1,5
1992,678,24,25
1994,678,14,19
1995,678,4,8
1996,678,3,8
1997,678,11,19
1998,678,8,7
1999,678,11,17
2000,678,19,10
2001,678,2,7
2002,678,4,7
2003,678,16,7
2005,678,12,7
2006,678,14,5
2007,678,24,7
2008,678,74,22
1971,680,0,1
1983,680,0,1
1972,690,0,1
1974,690,0,1
1975,690,0,1
1976,690,0,1
1978,690,1,1
1980,690,0,4
1981,690,2,3
1982,690,0,1
1983,690,1,7
1984,690,4,1
1985,690,11,2
1986,690,0,1
1987,690,1,12
1988,690,2,4
1991,690,1,5
1992,690,2,15
1994,690,0,2
1997,690,0,2
2001,690,2,2
2002,690,4,1
2003,690,1,3
2005,690,2,2
1979,692,0,1
1980,692,0,1
1991,692,1,1
1994,692,0,1
1995,692,1,8
1996,692,8,16
1997,692,5,11
2003,692,0,1
2006,692,0,1
2008,692,1,1
1982,694,1,1
1989,694,3,1
1996,694,0,1
2000,694,0,1
2001,694,1,1
2005,694,2,1
1974,696,1,1
1977,696,1,1
1978,696,5,1
1979,696,0,2
1980,696,1,1
1981,696,2,3
1983,696,111,1
1985,696,0,2
1986,696,0,1
1989,696,1,1
1992,696,0,1
1995,696,0,2
1973,700,0,1
1979,700,53,3
1987,700,0,1
1988,700,128,11
1989,700,10,10
1990,700,12,2
1991,700,68,30
1992,700,49,36
1994,700,22,9
1995,700,5,6
1996,700,31,4
1997,700,4,1
1998,700,8,1
1999,700,39,9
2000,700,38,14
2001,700,174,14
2002,700,74,38
2003,700,163,100
2004,700,275,88
2005,700,367,155
2006,700,731,282
2007,700,1197,340
2008,700,1089,415
2002,701,0,1
1992,702,14,17
1994,702,48,31
1995,702,78,34
1996,702,50,22
1997,702,43,40
1998,702,29,11
1999,702,2,4
2000,702,11,6
2001,702,8,6
2005,702,0,1
2007,702,1,1
1996,703,0,5
1999,703,1,3
2000,703,2,4
2001,703,0,1
2002,703,2,2
2003,703,1,1
2005,703,0,2
2006,703,1,3
2007,703,0,1
1992,704,0,2
1995,704,0,1
1999,704,19,8
2004,704,36,5
2005,704,10,2
1992,705,9,5
1994,705,0,1
1997,705,2,2
2000,705,2,1
2001,705,0,1
2008,705,2,1
1989,710,20,3
1990,710,2,1
1991,710,0,1
1992,710,9,5
1994,710,18,13
1995,710,6,8
1996,710,23,62
1997,710,57,18
1998,710,50,2
1999,710,5,2
2000,710,1,4
2001,710,25,13
2002,710,1,2
2003,710,1,3
2004,710,4,2
2005,710,12,1
2006,710,1,1
2008,710,23,20
1971,713,25,1
1976,713,0,1
1990,713,0,1
1991,713,7,2
1992,713,16,20
1994,713,1,5
1995,713,0,4
1996,713,9,5
1997,713,0,1
2001,713,2,2
2004,713,0,2
2008,713,0,1
1994,731,3,1
1974,732,1,1
1982,732,1,1
1983,732,1,1
1986,732,5,2
1988,732,0,8
1989,732,0,1
1990,732,0,3
1991,732,0,6
1992,732,1,3
1994,732,1,2
1995,732,0,4
1996,732,0,1
2001,732,0,1
2003,732,0,1
2006,732,0,1
1970,740,0,2
1973,740,0,2
1974,740,0,3
1975,740,0,12
1976,740,2,1
1977,740,0,4
1978,740,4,35
1979,740,5,16
1981,740,0,1
1982,740,0,2
1983,740,2,12
1984,740,0,15
1985,740,2,10
1986,740,3,10
1987,740,1,10
1988,740,0,16
1989,740,2,13
1990,740,2,93
1991,740,1,19
1992,740,0,40
1994,740,8,9
1995,740,15,20
1996,740,0,8
1997,740,0,5
1998,740,0,1
1999,740,0,2
2000,740,0,13
2001,740,0,3
2002,740,0,2
2003,740,0,2
2008,740,0,3
1972,750,0,1
1975,750,4,1
1976,750,0,1
1977,750,0,1
1979,750,31,20
1980,750,17,10
1981,750,24,16
1982,750,64,13
1983,750,59,47
1984,750,195,159
1985,750,51,39
1986,750,340,96
1987,750,506,166
1988,750,966,358
1989,750,874,324
1990,750,907,349
1991,750,1113,339
1992,750,1152,237
1994,750,389,107
1995,750,361,179
1996,750,569,211
1997,750,853,193
1998,750,398,61
1999,750,464,112
2000,750,671,179
2001,750,658,234
2002,750,593,182
2003,750,472,196
2004,750,334,108
2005,750,463,145
2006,750,722,167
2007,750,626,149
2008,750,763,516
2006,760,4,1
2008,760,5,3
1970,770,1,1
1974,770,0,2
1975,770,1,2
1976,770,1,3
1978,770,5,2
1979,770,6,7
1980,770,17,1
1981,770,4,4
1982,770,3,4
1983,770,10,9
1984,770,12,3
1985,770,0,2
1986,770,60,24
1987,770,183,60
1988,770,136,44
1989,770,56,45
1990,770,188,87
1991,770,231,150
1992,770,152,85
1994,770,354,154
1995,770,712,666
1996,770,423,180
1997,770,443,206
1998,770,151,37
1999,770,127,39
2000,770,118,49
2001,770,109,53
2002,770,105,46
2003,770,119,29
2004,770,304,67
2005,770,150,78
2006,770,314,164
2007,770,1406,260
2008,770,1184,567
1977,771,0,1
1979,771,0,1
1980,771,6,1
1981,771,6,1
1982,771,0,1
1984,771,1,1
1985,771,0,1
1986,771,54,11
1987,771,26,6
1988,771,87,36
1989,771,131,36
1990,771,66,22
1991,771,69,42
1992,771,101,76
1994,771,30,68
1995,771,35,74
1996,771,89,161
1997,771,14,17
1998,771,0,2
1999,771,30,11
2000,771,10,22
2001,771,57,15
2002,771,21,5
2003,771,3,4
2004,771,33,11
2005,771,43,22
2006,771,19,23
2007,771,1,9
2008,771,9,19
1973,775,0,1
1976,775,0,2
1979,775,86,19
1980,775,6,1
1982,775,3,2
1983,775,21,4
1987,775,0,1
1988,775,93,23
1989,775,80,24
1990,775,71,9
1991,775,90,22
1992,775,139,12
1994,775,18,8
1995,775,30,12
1996,775,86,13
1997,775,16,35
1999,775,10,4
2001,775,8,3
2002,775,5,4
2003,775,18,9
2004,775,1,2
2005,775,21,8
2006,775,0,2
2007,775,10,3
2008,775,14,20
1975,780,1,1
1979,780,2,3
1981,780,3,2
1982,780,7,2
1983,780,6,7
1984,780,485,81
1985,780,611,110
1986,780,690,142
1987,780,1274,115
1988,780,885,350
1989,780,1822,510
1990,780,1505,141
1991,780,1034,115
1992,780,984,103
1994,780,186,35
1995,780,1020,126
1996,780,815,176
1997,780,486,64
1998,780,670,35
1999,780,212,46
2000,780,449,68
2001,780,194,36
2002,780,3,3
2003,780,23,9
2004,780,30,33
2005,780,125,133
2006,780,1012,217
2007,780,410,132
2008,780,352,101
2006,781,0,1
2007,781,0,1
2008,781,0,1
1985,790,6,9
1991,790,0,1
1992,790,9,8
1994,790,4,3
1996,790,6,5
1997,790,15,9
1999,790,23,8
2000,790,91,23
2001,790,172,33
2002,790,486,58
2003,790,22,15
2004,790,630,62
2005,790,211,70
2006,790,133,83
2007,790,44,90
2008,790,53,121
1972,800,0,1
1974,800,2,1
1977,800,1,3
1978,800,29,5
1979,800,62,16
1980,800,75,26
1981,800,21,18
1982,800,1,3
1983,800,0,1
1984,800,0,1
1985,800,0,1
1986,800,0,3
1988,800,10,5
1989,800,35,16
1990,800,22,10
1991,800,11,8
1992,800,39,25
1994,800,17,24
1995,800,19,12
1996,800,10,19
1997,800,18,20
1998,800,4,4
1999,800,0,4
2000,800,7,4
2001,800,11,15
2002,800,16,12
2003,800,6,6
2004,800,32,44
2005,800,130,155
2006,800,194,202
2007,800,264,292
2008,800,166,200
1971,811,2,2
1972,811,1,1
1978,811,1,1
1989,811,11,2
1990,811,0,2
1991,811,16,3
1992,811,64,67
1994,811,225,39
1995,811,21,56
1996,811,44,33
1997,811,100,18
1998,811,35,7
1999,811,1,8
2000,811,12,4
2001,811,4,7
2002,811,4,3
2003,811,1,1
2008,811,1,2
1989,812,2,1
1990,812,0,1
1992,812,3,4
1994,812,2,1
1996,812,5,1
2000,812,1,8
2001,812,0,1
2003,812,10,2
1992,816,0,1
1994,816,0,1
1995,816,0,1
1996,816,0,1
1997,816,1,2
2001,816,0,4
1972,817,81,1
1973,820,0,1
1975,820,0,3
1977,820,100,2
1979,820,5,1
1983,820,0,1
1986,820,20,15
1988,820,9,4
1989,820,0,2
1990,820,0,3
1991,820,0,3
1992,820,0,2
2000,820,2,3
2001,820,0,1
2008,820,0,2
1974,830,0,1
1985,830,0,1
1987,830,0,2
1991,830,4,1
1992,830,0,1
1994,830,1,1
1992,835,0,1
1970,840,41,10
1971,840,0,4
1972,840,2,7
1974,840,3,1
1975,840,1,4
1976,840,47,10
1977,840,0,2
1978,840,128,36
1979,840,107,50
1980,840,163,60
1981,840,176,31
1982,840,139,38
1983,840,101,16
1984,840,262,43
1985,840,452,124
1986,840,322,80
1987,840,404,160
1988,840,550,210
1989,840,393,156
1990,840,457,320
1991,840,432,162
1992,840,395,162
1994,840,126,72
1995,840,201,63
1996,840,95,61
1997,840,98,57
1998,840,6,18
1999,840,45,31
2000,840,290,132
2001,840,154,50
2002,840,125,48
2003,840,288,107
2004,840,206,32
2005,840,49,25
2006,840,60,58
2007,840,115,65
2008,840,220,275
1977,850,1,1
1978,850,0,2
1981,850,4,1
1984,850,2,2
1985,850,7,2
1986,850,0,4
1989,850,85,2
1990,850,12,3
1991,850,21,7
1992,850,33,4
1994,850,1,5
1995,850,41,24
1996,850,29.999998,65
1997,850,102,28
1998,850,9,3
1999,850,67,61
2000,850,146,101
2001,850,134,105
2002,850,246,43
2003,850,26,18
2004,850,42,17
2005,850,66,15
2006,850,6,10
2007,850,0,2
2008,850,0,13
2000,860,1,4
2003,860,5,2
2005,860,0,1
2007,860,1,2
2008,860,2,1
1970,900,0,1
1971,900,0,1
1972,900,1,2
1974,900,0,1
1978,900,2,2
1979,900,0,2
1980,900,2,6
1981,900,1,1
1982,900,0,2
1986,900,1,2
1988,900,0,3
1989,900,0,2
1991,900,0,4
1992,900,1,4
1994,900,3,9
1995,900,0,5
1996,900,2,5
1997,900,0,4
1998,900,0,6
2000,900,0,1
2001,900,0,2
2006,900,0,2
2008,900,0,3
1989,910,13,24
1990,910,12,18
1991,910,3,2
1992,910,7,10
1994,910,17,3
1995,910,6,10
1996,910,21,10
1997,910,0,2
2002,910,0,1
2007,910,0,1
1973,920,0,1
1981,920,0,2
1991,920,0,1
1994,920,0,1
1996,920,0,2
1997,920,0,1
2001,920,0,1
2003,920,0,3
2008,920,0,5
1996,935,0,2
1999,940,2,1
2000,940,0,1
2002,940,1,1
2003,940,1,1
1987,950,0,3
1989,950,0,2
1991,950,0,3
1992,950,1,1
1999,950,0,3
2000,950,7,4
2001,950,0,1
1980,2000,0,1
1981,2000,0,3
1989,2000,0,1
1990,2000,0,1
1991,2000,0,1
1992,2000,1,6
1994,2000,3,4
1995,2000,0,1
1996,2000,0,3
2000,2000,0,2
2001,2000,0,1
2005,2000,0,1
2008,2000,0,1
