290	POL	Poland	11:11:1918	31:12:2012
300	AUH	Austria-Hungary	01:01:1816	13:11:1918
305	AUS	Austria	14:11:1918	31:12:2012
310	HUN	Hungary	03:11:1918	31:12:2012
315	CZE	Czechoslovakia	11:11:1918	31:12:1992
316	CZR	Czech Republic	01:01:1993	31:12:2012
317	SLO	Slovakia	01:01:1993	31:12:2012
325	ITA	Italy/Sardinia	01:01:1816	31:12:2012
327	PAP	Papal States	01:01:1816	22:09:1870
329	SIC	Two Sicilies	01:01:1816	16:03:1861
332	MOD	Modena	01:01:1816	16:03:1861
335	PMA	Parma	01:01:1816	16:03:1861
337	TUS	Tuscany	01:01:1816	16:03:1861
338	MLT	Malta	21:09:1964	31:12:2012
339	ALB	Albania	01:01:1913	31:12:2012
341	MNG	Montenegro	01:01:1868	01:07:1915
341	MNG	Montenegro	03:06:2006	31:12:2012
343	MAC	Macedonia (Former Yugoslav Republic of)	20:11:1991	31:12:2012
344	CRO	Croatia	27:04:1992	31:12:2012
340	SER	Serbia	13:07:1878	01:10:1915
340	SER	Serbia	05:06:2006	31:12:2012
345	YUG	Yugoslavia	01:12:1918	04:06:2006
346	BOS	Bosnia-Herzegovina	27:04:1992	31:12:2012
347	KOS	Kosovo	17:02:2008	31:12:2012
349	SLV	Slovenia	27:04:1992	31:12:2012
350	GRC	Greece	25:04:1828	31:12:2012
352	CYP	Cyprus	16:08:1960	31:12:2012
355	BUL	Bulgaria	03:03:1878	31:12:2012
359	MLD	Moldova	27:08:1991	31:12:2012
360	RUM	Rumania	13:07:1878	31:12:2012
365	RUS	Russia (Soviet Union)	01:01:1816	31:12:2012
366	EST	Estonia	11:11:1918	01:06:1940
366	EST	Estonia	06:09:1991	31:12:2012
367	LAT	Latvia	11:11:1918	01:06:1940
367	LAT	Latvia	06:09:1991	31:12:2012
368	LIT	Lithuania	16:02:1918	01:06:1940
368	LIT	Lithuania	06:09:1991	31:12:2012
369	UKR	Ukraine	01:12:1991	31:12:2012
370	BLR	Belarus (Byelorussia)	25:08:1991	31:12:2012
371	ARM	Armenia	21:12:1991	31:12:2012
372	GRG	Georgia	06:09:1991	31:12:2012
373	AZE	Azerbaijan	21:12:1991	31:12:2012
375	FIN	Finland	06:12:1917	31:12:2012
380	SWD	Sweden	01:01:1816	31:12:2012
385	NOR	Norway	26:08:1905	31:12:2012
390	DEN	Denmark	01:01:1816	31:12:2012
395	ICE	Iceland	17:06:1944	31:12:2012
402	CAP	Cape Verde	05:07:1975	31:12:2012
404	GNB	Guinea-Bissau	10:09:1974	31:12:2012
411	EQG	Equatorial Guinea	12:10:1968	31:12:2012
420	GAM	Gambia	18:02:1965	31:12:2012
432	MLI	Mali	22:09:1960	31:12:2012
433	SEN	Senegal	04:04:1960	31:12:2012
434	BEN	Benin	01:08:1960	31:12:2012
435	MAA	Mauritania	28:11:1960	31:12:2012
436	NIR	Niger	03:08:1960	31:12:2012
437	CDI	Cote D’Ivoire	07:08:1960	31:12:2012
438	GUI	Guinea	02:10:1958	31:12:2012
439	BFO	Burkina Faso (Upper Volta)	05:08:1960	31:12:2012
450	LBR	Liberia	26:07:1847	31:12:2012
451	SIE	Sierra Leone	27:04:1961	31:12:2012
452	GHA	Ghana	06:03:1957	31:12:2012
461	TOG	Togo	27:04:1960	31:12:2012
471	CAO	Cameroon	01:01:1960	31:12:2012
475	NIG	Nigeria	01:10:1960	31:12:2012
481	GAB	Gabon	17:08:1960	31:12:2012
482	CEN	Central African Republic	13:08:1960	31:12:2012
483	CHA	Chad	11:08:1960	31:12:2012
484	CON	Congo	15:08:1960	31:12:2012
490	DRC	Congo, Democratic Republic of (Zaire)	30:06:1960	31:12:2012
500	UGA	Uganda	09:10:1962	31:12:2012
501	KEN	Kenya	12:12:1963	31:12:2012
510	TAZ	Tanzania/Tanganyika	09:12:1961	31:12:2012
511	ZAN	Zanzibar	19:12:1963	26:04:1964
516	BUI	Burundi	01:07:1962	31:12:2012
517	RWA	Rwanda	07:01:1962	31:12:2012
520	SOM	Somalia	01:07:1960	31:12:2012
522	DJI	Djibouti	27:06:1977	31:12:2012
530	ETH	Ethiopia	11:02:1855	31:12:2012
531	ERI	Eritrea	24:05:1993	31:12:2012
540	ANG	Angola	11:11:1975	31:12:2012
541	MZM	Mozambique	25:06:1975	31:12:2012
551	ZAM	Zambia	24:10:1964	31:12:2012
552	ZIM	Zimbabwe (Rhodesia)	11:11:1965	31:12:2012
553	MAW	Malawi	06:07:1964	31:12:2012
560	SAF	South Africa	31:05:1910	31:12:2012
563	TRA	Transvaal	01:01:1852	30:05:1910
564	OFS	Orange Free State	28:03:1854	30:05:1910
565	NAM	Namibia	21:03:1990	31:12:2012
570	LES	Lesotho	04:10:1966	31:12:2012
571	BOT	Botswana	30:09:1966	31:12:2012
572	SWA	Swaziland	06:09:1968	31:12:2012
580	MAG	Madagascar (Malagasy)	01:01:1816	05:08:1896
580	MAG	Madagascar	26:06:1960	31:12:2012
581	COM	Comoros	06:07:1975	31:12:2012
590	MAS	Mauritius	12:03:1968	31:12:2012
600	MOR	Morocco	01:01:1816	01:01:1904
600	MOR	Morocco	02:03:1956	31:12:2012
615	ALG	Algeria	01:01:1816	05:07:1830
615	ALG	Algeria	05:07:1962	31:12:2012
616	TUN	Tunisia	01:01:1816	12:05:1881
616	TUN	Tunisia	01:01:1956	31:12:2012
620	LIB	Libya	01:01:1816	31:12:1834
620	LIB	Libya	24:12:1951	31:12:2012
625	SUD	Sudan	01:01:1956	31:12:2012
626	SSD	South Sudan	09:07:2011	31:12:2012
630	IRN	Iran (Persia)	01:01:1816	31:12:2012
640	TUR	Turkey (Ottoman Empire)	01:01:1816	31:12:2012
645	IRQ	Iraq	03:10:1932	31:12:2012
651	EGY	Egypt	01:01:1827	31:12:1855
651	EGY	Egypt	28:02:1922	31:12:2012
652	SYR	Syria	01:01:1946	31:12:2012
660	LEB	Lebanon	22:11:1944	31:12:2012
663	JOR	Jordan	25:05:1946	31:12:2012
666	ISR	Israel	14:05:1948	31:12:2012
670	SAU	Saudi Arabia	23:09:1932	31:12:2012
678	YEM	Yemen (Arab Republic of Yemen)	30:10:1918	31:12:2012
680	YPR	Yemen, People's Republic of	30:11:1967	21:05:1990
690	KUW	Kuwait	19:06:1961	31:12:2012
692	BAH	Bahrain	15:08:1971	31:12:2012
694	QAT	Qatar	03:09:1971	31:12:2012
696	UAE	United Arab Emirates	02:12:1971	31:12:2012
698	OMA	Oman	01:01:1816	31:12:2012
700	AFG	Afghanistan	01:01:1816	30:12:1888
700	AFG	Afghanistan	01:05:1919	31:12:2012
701	TKM	Turkmenistan	27:10:1991	31:12:2012
702	TAJ	Tajikistan	09:09:1991	31:12:2012
703	KYR	Kyrgyz Republic	31:08:1991	31:12:2012
704	UZB	Uzbekistan	31:08:1991	31:12:2012
705	KZK	Kazakhstan	16:12:1991	31:12:2012
710	CHN	China	01:01:1816	31:12:2012
711	TBT	Tibet	01:01:1913	01:10:1950
712	MON	Mongolia	13:03:1921	31:12:2012
713	TAW	Taiwan	08:12:1949	31:12:2012
730	KOR	Korea	01:01:1816	22:08:1910
731	PRK	Korea, People's Republic of	09:09:1948	31:12:2012
732	ROK	Korea, Republic of	15:08:1948	31:12:2012
740	JPN	Japan	01:01:1816	31:12:2012
750	IND	India	15:08:1947	31:12:2012
760	BHU	Bhutan	01:01:1949	31:12:2012
770	PAK	Pakistan	14:08:1947	31:12:2012
771	BNG	Bangladesh	16:12:1971	31:12:2012
775	MYA	Myanmar (Burma)	01:01:1816	31:12:1885
775	MYA	Myanmar (Burma)	04:01:1948	31:12:2012
780	SRI	Sri Lanka (Ceylon)	04:02:1948	31:12:2012
781	MAD	Maldives	26:05:1965	31:12:2012
790	NEP	Nepal	01:01:1816	31:12:2012
800	THI	Thailand	01:01:1816	31:12:2012
811	CAM	Cambodia (Kampuchea)	09:11:1953	31:12:2012
812	LAO	Laos	01:05:1954	31:12:2012
815	VNM	Vietnam (Annam/Cochin China/Tonkin)	01:01:1816	01:01:1893
816	DRV	Vietnam, Democratic Republic of	01:05:1954	31:12:2012
817	RVN	Vietnam, Republic of	01:05:1954	30:04:1975
820	MAL	Malaysia	31:08:1957	31:12:2012
830	SIN	Singapore	09:08:1965	31:12:2012
835	BRU	Brunei	01:01:1984	31:12:2012
840	PHI	Philippines	04:07:1946	31:12:2012
850	INS	Indonesia	17:08:1945	31:12:2012
860	ETM	East Timor	20:05:2002	31:12:2012
900	AUL	Australia	01:01:1901	31:12:2012
910	PNG	Papua New Guinea	16:09:1975	31:12:2012
920	NEW	New Zealand	01:09:1907	31:12:2012
940	SOL	Solomon Islands	07:07:1978	31:12:2012
950	FJI	Fiji	10:10:1970	31:12:2012
