"country","year","cowcode","mean","sd","median","pct025","pct975"
"Nicaragua","1990",93,0.6846176737339,0.161938282067174,0.674468959198072,0.394198047742121,1.03000233009096
"Nicaragua","1991",93,0.686251782266703,0.16165317383021,0.677942694575504,0.396433022905033,1.02918461917083
"Nicaragua","1992",93,0.657796872769363,0.155407125427706,0.649633697462767,0.376743935491168,0.990270152047641
"Nicaragua","1993",93,0.605638875568213,0.149655631753169,0.599175716433975,0.328964444166619,0.920988628034422
"Nicaragua","1994",93,0.608507770316313,0.148481687915408,0.602701949664111,0.332151029401938,0.92131818436523
"Nicaragua","1995",93,0.710005345291203,0.169693246246355,0.697921325880553,0.416220444231392,1.07264253032239
"Nicaragua","1996",93,0.775541245500998,0.184036905164127,0.762208987434195,0.456474094090636,1.17876914967777
"Nicaragua","1997",93,0.775050691138359,0.18368032166305,0.762220430199068,0.452214291894381,1.16373119087836
"Nicaragua","1998",93,0.819440408195578,0.190316452489655,0.804340178943664,0.485579827414159,1.22553235303407
"Nicaragua","1999",93,0.756212036056721,0.188310539313903,0.743029883645812,0.426773654181135,1.16168200362905
"Nicaragua","2000",93,0.830908567763876,0.181658377009569,0.818567079846072,0.509702072703973,1.21809148637438
"Nicaragua","2001",93,0.520688625842861,0.245377378834163,0.512497778447186,0.0573468732102039,1.01515262166828
"Nicaragua","2002",93,0.521298452379411,0.246121319607472,0.517392937254606,0.0575006788629919,1.02126804841074
"Nicaragua","2003",93,0.526421608421394,0.245825009289171,0.517285907328703,0.0659760333655621,1.02547955477899
"Nicaragua","2004",93,0.52812107568701,0.247309950606139,0.520736685839813,0.0646636906347523,1.03366513934145
"Nicaragua","2005",93,0.522858938382312,0.245187753788784,0.519706030488514,0.0609718476088709,1.0123666575235
"Nicaragua","2006",93,0.625930171421999,0.251349534296833,0.618302526033896,0.153645126696949,1.13780912901659
"Nicaragua","2007",93,0.62034121772217,0.25138589882605,0.613929970153,0.150892100212756,1.13312652200576
"Nicaragua","2008",93,0.55705273431698,0.246044906437849,0.549763193732181,0.0954455881761598,1.05610029186119
"Costa Rica","1946",94,0.333608301552793,0.145875453598072,0.33433127128316,0.0489389601984904,0.616644714607835
"Costa Rica","1947",94,0.331785092359005,0.147572587062253,0.332179839773319,0.0463996153850297,0.621506638944525
"Costa Rica","1948",94,-0.255038653414299,0.168011736489159,-0.246038153301356,-0.601266439324603,0.0529264461125793
"Costa Rica","1949",94,0.268038031307156,0.1344147931207,0.265788415446558,0.0121128226420071,0.538749825526642
"Costa Rica","1950",94,0.425091963930621,0.13434135511899,0.425126190280041,0.161928481815272,0.68384707701172
"Costa Rica","1951",94,0.417484462836865,0.143120448903143,0.418789075216737,0.13244279674483,0.6944321146659
"Costa Rica","1952",94,0.417170886073408,0.144877095506046,0.416948155729453,0.135602263936101,0.705147314304753
"Costa Rica","1953",94,0.472854202381245,0.144576110114089,0.475080038004537,0.186418108126809,0.756164264243189
"Costa Rica","1954",94,0.471185838660173,0.144894888504668,0.472478364411367,0.186559858828379,0.756634618803845
"Costa Rica","1955",94,0.471475099066358,0.133756902855083,0.471172757063565,0.210262152415217,0.732415576476098
"Costa Rica","1956",94,0.4727328182356,0.143171450304035,0.473592861156846,0.192765466440595,0.753157827185629
"Costa Rica","1957",94,0.473316431317511,0.145002716546101,0.472932525733884,0.192037050669501,0.757209260220406
"Costa Rica","1958",94,0.825495799244649,0.20437726219133,0.807432093463799,0.477485328248294,1.27208673016402
"Costa Rica","1959",94,0.829126907208318,0.202776838266609,0.810503488270965,0.479950669838862,1.27158279402192
"Costa Rica","1960",94,0.881648977840711,0.200717099804308,0.866146129638086,0.53322516186121,1.31451287600793
"Costa Rica","1961",94,0.830031336944036,0.204557241043788,0.813491009977277,0.477672162220107,1.28115022592422
"Costa Rica","1962",94,0.829792668351167,0.206148288006025,0.812169262136291,0.476665054871136,1.27873643457032
"Costa Rica","1963",94,0.829179372858498,0.204629637033224,0.810829841405649,0.472823294177572,1.27898090353828
"Costa Rica","1964",94,0.827685185766476,0.202583574471997,0.811677881499628,0.475329270345145,1.26197439238536
"Costa Rica","1965",94,0.885700696144327,0.199881088330734,0.871190239208304,0.537329049992105,1.31667363361898
"Costa Rica","1966",94,0.827840360632431,0.20556886185934,0.810570058870541,0.47610101809258,1.27833152055346
"Costa Rica","1967",94,0.828095780982348,0.205093549586185,0.808866258785311,0.47444363029552,1.26964058422133
"Costa Rica","1968",94,0.829418114042812,0.204408366926319,0.815818111440952,0.475627560191436,1.27139854361724
"Costa Rica","1969",94,0.82719644135755,0.205388577592902,0.807467277629192,0.47653450152853,1.28552445088046
"Costa Rica","1970",94,0.91128734571655,0.224969378699945,0.893183394117155,0.519291887748508,1.40455442119076
"Costa Rica","1971",94,0.911690502389935,0.224111372039862,0.893121680182111,0.528944414315001,1.3984164586309
"Costa Rica","1972",94,1.06912177180375,0.225979932576785,1.05798921214199,0.661622855471294,1.53483819953075
"Costa Rica","1973",94,1.06612957796501,0.227159194685131,1.05546438367279,0.652819067561324,1.5315763453001
"Costa Rica","1974",94,1.14543101605881,0.235241108161686,1.13877116341169,0.71303911301688,1.62896132040904
"Costa Rica","1975",94,1.36253804826725,0.263318222686291,1.3550497860156,0.874179848604142,1.90110252069162
"Costa Rica","1976",94,1.35949132632692,0.261148999477576,1.35005316260015,0.873397018224225,1.89804947745053
"Costa Rica","1977",94,1.36595819759885,0.262509561497095,1.35397895176995,0.869436137839156,1.90653563260231
"Costa Rica","1978",94,1.36366509470762,0.260981632713068,1.35539427194086,0.878337160954707,1.90241625980885
"Costa Rica","1979",94,1.36287661851926,0.261982174679043,1.35576505546365,0.880472267255618,1.88900448834805
"Costa Rica","1980",94,1.37125464484678,0.252776355957996,1.35995170880613,0.900842956623092,1.89567503835326
"Costa Rica","1981",94,1.14848477809176,0.233539560888545,1.14089058323498,0.711800805933307,1.6327247711135
"Costa Rica","1982",94,1.06766486370228,0.22928447549721,1.05659272919393,0.655025667801052,1.55003912823826
"Costa Rica","1983",94,1.11460264678809,0.254131686912134,1.09947897628231,0.664925510378489,1.64585425745398
"Costa Rica","1984",94,1.10859263975063,0.257108698488449,1.09412602249025,0.654159506304414,1.65003903122942
"Costa Rica","1985",94,1.15815267062092,0.241780896103793,1.14266477481148,0.724928976877768,1.66380426212334
"Costa Rica","1986",94,1.22186681868606,0.273546526796566,1.20688080299291,0.734801138292384,1.80142994614099
"Costa Rica","1987",94,1.21658026247932,0.272421210494126,1.20437441194523,0.723455891958376,1.78424502700355
"Costa Rica","1988",94,1.23305471073348,0.267599072619997,1.21662073896788,0.758127859351761,1.79784557633993
"Costa Rica","1989",94,1.22152407259066,0.272021442245722,1.20728047430304,0.730386611103215,1.78641280740216
"Costa Rica","1990",94,1.22028434718267,0.26983416627971,1.20715249566692,0.72998692670445,1.78280734390342
"Costa Rica","1991",94,1.22333980487632,0.271284321744713,1.21237155515667,0.724409254411528,1.78420327392121
"Costa Rica","1992",94,1.22082816826483,0.272688108086212,1.20832550624077,0.730367694338382,1.79402681340084
"Costa Rica","1993",94,1.03569946357292,0.233928085863465,1.02558378482581,0.61546928640021,1.52154585063342
"Costa Rica","1994",94,1.12672018249745,0.247967960947626,1.11414191862218,0.678616195216967,1.63668962512034
"Costa Rica","1995",94,1.12478016269248,0.247202323972748,1.11553969397016,0.681482971545905,1.62733674920366
"Costa Rica","1996",94,1.11927608640134,0.242413115324146,1.11141432784407,0.675449860325686,1.61261401807174
"Costa Rica","1997",94,1.12046944641538,0.245400404007165,1.11004955422041,0.671535411856149,1.62460257016217
"Costa Rica","1998",94,1.03342020838042,0.230163305851971,1.02176082994825,0.623604644890098,1.5095738990035
"Costa Rica","1999",94,1.02545174853362,0.235969167535554,1.01220763873766,0.602758508187575,1.51926928413663
"Costa Rica","2000",94,1.08431293633045,0.22453548395303,1.07323023029819,0.676770651899736,1.55149220815174
